,trading_time_avg,trading_time_med,trading_max_time,tick_time_avg,tick_max_time,tick_time_med,spread_bid_ask_avg,spread_bid_ask_med,last_digit_vol_trade_freq,last_digit_prx_trade_freq,vol_test_res,prx_test_res
ABB SS Equity,10.207768,0.0,490.0,59.599409,780.0,32.0,0.08730468962072582,0.10000000000002274,0.3670423575143599,0.12255013735517986,True,True
AKA NO Equity,51.08945,0.0,1454.0,125.004813,1454.0,30.0,0.0029621136113897883,0.060000000000002274,0.21542210118962304,0.01743824948640772,True,False
AKSO NO Equity,18.924541,0.0,807.0,45.880017,807.0,9.0,0.06313254364789761,0.14999999999999858,0.19377233855423942,0.01066636725986639,True,False
ALFA SS Equity,5.528354,0.0,447.0,26.948176,796.0,3.0,0.07566027982631504,0.10000000000002274,0.19374870769866978,0.13311737542215177,True,True
AMEAS FH Equity,14.927337,0.0,636.0,52.868271,1119.0,10.0,0.022436073687104742,0.030000000000001137,0.20357760921250545,0.00959096863931165,True,False
ASSAB SS Equity,8.393114,0.0,537.0,80.713524,984.0,27.0,0.1669915226575396,0.5,0.1413356710529997,0.4896527926734871,True,True
ATCOA SS Equity,5.8010909999999996,0.0,349.0,29.836699,590.0,13.0,0.0285409919507043,0.19999999999998863,0.21142126149175478,0.1137036219578662,True,True
ATCOB SS Equity,17.703741,0.0,611.0,62.758942,747.0,33.0,0.11753028505697484,0.20000000000004547,0.2272547539451454,0.11275567058485209,True,True
AZN SS Equity,17.177229,0.0,483.0,90.030483,910.0,54.0,0.6650177470577247,0.5,0.3019316271249767,0.5080851858770783,True,True
BOL SS Equity,6.489688,0.0,301.0,34.590285,579.0,17.0,0.06727795000142214,0.19999999999998863,0.25602229743181365,0.12176559255993857,True,True
BWLPG NO Equity,25.384559,0.0,854.0,91.850483,1226.0,33.0,-0.22699788426561737,0.15000000000000568,0.1936824913700308,0.10311421253851008,True,True
CARLB DC Equity,12.411284,0.0,862.0,105.400925,1069.0,38.0,0.11546230832797723,0.5,0.1792305573409237,0.495140155042827,True,True
CGCBV FH Equity,17.142493,0.0,593.0,49.632443,725.0,12.0,0.02546095126247802,0.03999999999999915,0.1663786595084305,0.019276906299807064,True,False
CHR DC Equity,12.106091,0.0,671.0,42.378358,712.0,12.0,0.03413057699856019,0.20000000000004547,0.12917702472850975,0.130498495355227,True,True
COLOB DC Equity,14.166064,0.0,705.0,93.09009,1223.0,40.0,0.1559135614780801,0.5,0.20083149762650865,0.4963079023300549,True,True
DANSKE DC Equity,5.275493,0.0,347.0,41.135066,733.0,18.0,0.000339794578731799,0.09999999999999432,0.23252760830952196,0.12451645967747597,True,True
DETNOR NO Equity,17.889266,0.0,635.0,58.348772,875.0,17.0,0.16321802565007662,0.14999999999999858,0.2727379691728439,0.09765854806447817,True,False
DNB NO Equity,5.479823,0.0,557.0,54.259773,887.0,24.0,0.07048824827944417,0.09999999999999432,0.2978054798078172,0.10814179976626412,True,True
DNO NO Equity,7.578255,0.0,594.0,31.169973,875.0,8.0,0.041161860915919585,0.02999999999999936,0.29365156287860433,0.020499151926338745,True,False
DSV DC Equity,8.291278,0.0,724.0,46.568209,838.0,13.0,0.015167880541779904,0.19999999999998863,0.16713823114907533,0.10849569137090788,True,True
ELI1V FH Equity,11.658935,0.0,540.0,48.066322,570.0,19.0,0.0014519759614363766,0.019999999999999574,0.24508929519441083,0.008292455033870591,True,False
ELUXB SS Equity,4.561596,0.0,395.0,27.266936,550.0,10.0,0.05587937955300065,0.19999999999998863,0.1470687348233312,0.11445562218147579,True,True
ERICB SS Equity,2.184217,0.0,368.0,17.226256,744.0,3.0,-0.09745617483851168,0.09999999999999432,0.3429864222183136,0.10277659945026711,True,True
FLS DC Equity,9.544159,0.0,500.0,34.709224,500.0,9.0,0.1321132537670555,0.20000000000004547,0.16064222709621062,0.1533122549159237,True,True
FOE NO Equity,26.438442,0.0,1081.0,74.714488,1215.0,16.0,0.16222594682379388,0.25,0.26794228486955796,0.05261404568073456,True,False
FUM1V FH Equity,8.256046,0.0,343.0,51.712516,540.0,26.0,0.0009561334148007006,0.010000000000001563,0.2599647773424864,0.009964777342486433,True,False
GEN DC Equity,14.026354,0.0,586.0,60.259925,1154.0,23.0,0.5886371946760275,1.0,0.16284554629223344,0.526290770805909,True,True
GETIB SS Equity,4.169281,0.0,337.0,17.473319,379.0,3.0,0.1229191775647141,0.19999999999998863,0.22343544818405858,0.14017256990040355,True,True
GJF NO Equity,15.519375,0.0,979.0,108.293814,1073.0,50.0,-0.6404331803486253,0.10000000000002274,0.16581130881056272,0.12547760620379372,True,True
GN DC Equity,16.678817,0.0,1006.0,84.242222,1612.0,36.0,0.0012386649474735764,0.19999999999998863,0.21868988987296287,0.07677186159081781,True,False
HMB SS Equity,4.406181,0.0,227.0,23.540419,336.0,11.0,0.012942517365217924,0.19999999999998863,0.20962129846669963,0.10854390228167136,True,True
HUH1V FH Equity,14.012279,0.0,950.0,42.031282,950.0,9.0,0.019839759922994162,0.03999999999999915,0.1829313175924353,0.0266406205764113,True,False
INVEB SS Equity,6.6772089999999995,0.0,246.0,25.313623,449.0,11.0,-0.003837663717972037,0.19999999999998863,0.2521924445825226,0.11427964092417875,True,True
ISS DC Equity,15.383687,0.0,990.0,70.74375,990.0,16.0,-0.08678604898558887,0.19999999999998863,0.13999138826270865,0.15004685798232062,True,True
JYSK DC Equity,10.769194,0.0,479.0,47.22665,609.0,22.0,-0.06764968957171515,0.19999999999998863,0.15876565295169948,0.13921919393875617,True,True
KCR1V FH Equity,27.86283,0.0,796.0,74.898252,801.0,21.0,0.02470889339678084,0.0400000000000027,0.1318179232942158,0.006275238402184011,True,False
KESBV FH Equity,13.73539,0.0,537.0,42.406052,566.0,14.0,0.01317571673203336,0.030000000000001137,0.1450312102966359,0.01622659227752306,True,False
KINVB SS Equity,7.417896,0.0,589.0,29.944829,589.0,11.0,0.06349774842146902,0.19999999999998863,0.15736795724830424,0.13151320629633523,True,True
KNEBV FH Equity,3.875759,0.0,465.0,13.230634,530.0,2.0,0.011007065625683514,0.020000000000003126,0.23442091349125593,0.037196762935420374,True,False
KRA1V FH Equity,34.438746,0.0,929.0,159.836653,1401.0,97.0,0.006221931468580848,0.019999999999999574,0.27172106510131194,0.02319742565154355,True,False
LUPE SS Equity,7.237173,0.0,437.0,45.80378,611.0,18.0,0.07078522783737208,0.10000000000002274,0.22272235699880163,0.09786484669570046,True,False
MAERSKA DC Equity,17.953319,0.0,637.0,81.534767,990.0,43.0,6.333887537023376,10.0,0.008929652833595755,1.0,False,True
MAERSKB DC Equity,8.690764,0.0,369.0,59.909521,1382.0,27.0,2.5783108188772466,10.0,0.03395075900195605,1.0,False,True
MEO1V FH Equity,7.51924,0.0,415.0,25.734581,466.0,5.5,0.017257767453052842,0.019999999999999574,0.19206456449508083,0.008810980406674874,True,False
MHG NO Equity,7.52793,0.0,464.0,45.487057,659.0,17.5,-0.05566788634412964,0.05000000000001137,0.2534489768261282,0.05949315625423499,True,False
MTGB SS Equity,8.907325,0.0,420.0,35.315004,696.0,10.0,0.092204714951791,0.19999999999998863,0.1796333300575447,0.16253371332481628,True,True
NAS NO Equity,8.757847,0.0,520.0,28.648273,1497.0,4.0,0.6688992531333113,0.5,0.2623329166265987,0.31169663749719523,True,True
NDA DC Equity,32.746766,0.0,970.0,126.286348,1162.0,69.0,0.08561656671664157,0.09999999999999432,0.4068215892053973,0.05924954189571881,True,False
NDA SS Equity,5.097245,0.0,559.0,71.060997,942.0,32.0,0.06816983290839318,0.10000000000000853,0.3191147687607808,0.10580145312200533,True,True
NDA1V FH Equity,21.687253,0.0,575.0,102.562235,1127.0,60.0,0.01232510466387556,0.019999999999999574,0.4971067438201648,0.0,True,False
NES1V FH Equity,9.003939,0.0,385.0,27.840229,479.0,4.0,0.01367707548809456,0.029999999999997584,0.23786763995905993,0.02280671262769635,True,False
NHY NO Equity,3.281368,0.0,265.0,13.565122,374.0,2.0,-0.02413670287684759,0.020000000000003126,0.29023728191595566,0.03592416908157814,True,False
NOK1V FH Equity,2.201307,0.0,238.0,18.97682,385.0,7.0,0.002057152470570152,0.004999999999999893,0.3399136920690192,0.0,True,False
NOKISEK SS Equity,15.33941,0.0,528.0,69.476764,1023.0,39.0,0.0833839411254375,0.09999999999999432,0.46564154725222123,0.07228117561081931,True,False
NOVOB DC Equity,2.501854,0.0,178.0,11.228025,297.0,4.0,-0.0075394815153152685,0.19999999999998863,0.24036318841783277,0.10496477459895638,True,True
NRE1V FH Equity,7.923625,0.0,284.0,25.218378,412.0,8.0,0.012731472204922685,0.019999999999999574,0.24455877176355906,0.03816306084319406,True,False
NZYMB DC Equity,4.959357,0.0,315.0,20.18904,510.0,5.0,0.09338084811653811,0.19999999999998863,0.17307743867018185,0.15260735510970105,True,True
OPERA NO Equity,7.656143,0.0,515.0,30.739067,723.0,7.0,0.260708107728008,0.10000000000000853,0.28514169186414456,0.08102102524435693,True,False
ORK NO Equity,12.164168,0.0,957.0,89.0625,1632.0,33.0,-0.023186385638135146,0.05000000000000426,0.24744194595919367,0.07165614852031126,True,False
ORNBV FH Equity,23.727737,0.0,937.0,71.742993,1146.0,28.0,0.0006988643929161873,0.030000000000001137,0.15036807365277435,0.010728348328926595,True,False
OTE1V FH Equity,20.096035,0.0,754.0,82.341729,754.0,41.0,0.004805697781278739,0.009999999999999787,0.23519758435079427,0.03568771607369481,True,False
OUT1V FH Equity,5.013576,0.0,322.0,18.229518,343.0,3.0,0.006482832503437515,0.009999999999999787,0.34820916044801026,0.011413848803214567,True,False
PGS NO Equity,6.9518889999999995,0.0,477.0,20.016829,477.0,2.0,-0.09698162376313782,0.060000000000002274,0.24208360178088908,0.05799428807708211,True,False
PNDORA DC Equity,5.859574,0.0,430.0,37.186357,521.0,13.0,0.20236385171744664,0.5,0.2060095931722151,0.5258772040355166,True,True
RCL NO Equity,12.009108,0.0,1402.0,47.893587,1403.0,9.0,1.0751095061792773,1.0,0.24803149606299213,0.5505683892162486,True,True
